Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,Longtitude,Latitude,Contaminant
1/3/2020 6:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 7:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 8:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 9:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 10:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 11:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 12:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 13:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 14:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 15:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 16:00,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 17:00,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 18:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 19:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 20:00,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 21:00,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 22:00,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/3/2020 23:00,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 0:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 1:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 2:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 3:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 4:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 5:00,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 6:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 7:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 8:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 9:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 10:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 11:00,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 12:00,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 13:00,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 14:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 15:00,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 16:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 17:00,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 18:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 19:00,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 20:00,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 21:00,Central Los Angeles,32,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 22:00,Central Los Angeles,35,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/4/2020 23:00,Central Los Angeles,34,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 0:00,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 1:00,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 2:00,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 3:00,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 4:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 5:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 6:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 7:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 8:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 9:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 10:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 11:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 12:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 13:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 14:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 15:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 16:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 17:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 18:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 19:00,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 20:00,Central Los Angeles,26,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 21:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 22:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/5/2020 23:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 0:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 1:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 2:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 3:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 5:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 6:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 7:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 8:00,Central Los Angeles,19,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 9:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 10:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 11:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 12:00,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 13:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 14:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 15:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 16:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 17:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 18:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 19:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 20:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 21:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 22:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/6/2020 23:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 0:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 1:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 2:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 3:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 4:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 5:00,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 6:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 7:00,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 8:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 9:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 10:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 11:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 12:00,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 13:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 14:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 15:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 16:00,Central Los Angeles,2,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 17:00,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 18:00,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 19:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 20:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 21:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 22:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/7/2020 23:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 0:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 1:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 2:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 3:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 4:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 5:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 6:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 7:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 8:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 11:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 12:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 13:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 14:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 15:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 16:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 17:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 18:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 19:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 20:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 21:00,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 22:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/8/2020 23:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 0:00,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 1:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 2:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 3:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 4:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 5:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 6:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 7:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 8:00,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 9:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 10:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 11:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 12:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 13:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 14:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 15:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 16:00,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 17:00,Central Los Angeles,5,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 18:00,Central Los Angeles,3,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 19:00,Central Los Angeles,4,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 20:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 21:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 22:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/9/2020 23:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 0:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 1:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 2:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 3:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 4:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 5:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 6:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 7:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 8:00,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 9:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 10:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 11:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 12:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 13:00,Central Los Angeles,7,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 14:00,Central Los Angeles,8,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 15:00,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 16:00,Central Los Angeles,11,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 17:00,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 18:00,Central Los Angeles,10,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 19:00,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 20:00,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 21:00,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 22:00,Central Los Angeles,21,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/10/2020 23:00,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/11/2020 0:00,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
1/11/2020 1:00,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,-118.22676,34.06653,PM2.5
